Land,ISO3,Jaar,Risicowaarde,Risiconiveau,Advies
Chad,TCD,2025,200.02,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
China,CHN,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Colombia,COL,2025,1.79,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Comoros,COM,2025,82.28,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Congo,COG,2025,215.29,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Costa Rica,CRI,2025,0.08,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Côte d'Ivoire,CIV,2025,262.44,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Democratic Republic of the Congo,COD,2025,283.38,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Djibouti,DJI,2025,51.37,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Dominican Republic,DOM,2025,0.06,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Ecuador,ECU,2025,0.01,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
El Salvador,SLV,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Equatorial Guinea,GNQ,2025,224.26,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Eritrea,ERI,2025,31.43,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Eswatini,SWZ,2025,1.21,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Ethiopia,ETH,2025,110.38,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
French Guiana,GUF,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Gabon,GAB,2025,189.12,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Gambia,GMB,2025,101.04,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Georgia,GEO,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Ghana,GHA,2025,186.3,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Guatemala,GTM,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Guinea,GIN,2025,276.55,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Guinea-Bissau,GNB,2025,104.08,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Guyana,GUY,2025,19.87,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Haiti,HTI,2025,13.15,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Honduras,HND,2025,0.05,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
India,IND,2025,0.93,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Indonesia,IDN,2025,2.59,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Iran,IRN,2025,0.01,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Iraq,IRQ,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Kenya,KEN,2025,71.85,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Kyrgyzstan,KGZ,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Laos,LAO,2025,0.02,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Liberia,LBR,2025,170.36,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Madagascar,MDG,2025,125.42,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Malawi,MWI,2025,285.0,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Malaysia,MYS,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Mali,MLI,2025,228.94,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Mauritania,MRT,2025,56.44,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Mayotte,MYT,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Mexico,MEX,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Morocco,MAR,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Mozambique,MOZ,2025,285.34,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Myanmar,MMR,2025,2.34,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Namibia,NAM,2025,8.72,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Nepal,NPL,2025,0.0,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Nicaragua,NIC,2025,0.14,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Niger,NER,2025,260.86,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Nigeria,NGA,2025,267.5,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
North Korea,PRK,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Oman,OMN,2025,0.0,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Pakistan,PAK,2025,16.84,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Panama,PAN,2025,0.0,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Papua New Guinea,PNG,2025,114.25,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Paraguay,PRY,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Peru,PER,2025,0.4,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Philippines,PHL,2025,0.2,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Rwanda,RWA,2025,38.39,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Sao Tome And Principe,STP,2025,33.46,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Saudi Arabia,SAU,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Senegal,SEN,2025,60.07,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Sierra Leone,SLE,2025,266.48,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Solomon Islands,SLB,2025,103.77,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Somalia,SOM,2025,52.47,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
South Africa,ZAF,2025,0.19,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
South Korea,KOR,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
South Sudan,SSD,2025,246.04,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Sri Lanka,LKA,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Sudan,SDN,2025,80.59,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Suriname,SUR,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Syria,SYR,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Tajikistan,TJK,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Tanzania,TZA,2025,131.18,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Thailand,THA,2025,0.01,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Timor-Leste,TLS,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Togo,TGO,2025,235.82,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Turkey,TUR,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Turkmenistan,TKM,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Uganda,UGA,2025,251.45,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Uzbekistan,UZB,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Vanuatu,VUT,2025,0.0,geen,Geen malariaprofylaxe nodig. Bescherm je alsnog tegen muggen als extra voorzorg.
Venezuela,VEN,2025,2.2,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Vietnam,VNM,2025,0.0,laag,"Overweeg muggenwerende maatregelen (DEET, klamboe). Raadpleeg een reiskliniek over profylaxe."
Yemen,YEM,2025,45.72,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
Zambia,ZMB,2025,266.38,hoog,"Malariaprofylaxe sterk aangeraden, samen met muggenwerende maatregelen. Raadpleeg tijdig (4-6 weken van tevoren) een reiskliniek."
Zimbabwe,ZWE,2025,21.82,matig,Malariaprofylaxe wordt aangeraden. Raadpleeg een reiskliniek of huisarts voor vertrek.
